[tt1334585]  []  
[tt0397892]  [$114,053,570]  
[tt1198405]  [$275,093 ]  
[tt0962726]  [$90,559,416]  
[tt1014775]  [$94,497,271]  
[tt1283913]  []  
[tt0910970]  [$223,808,160]  
[tt0499448]  [$141,621,490]  
[tt0997047]  [$45,588,608]  
[tt1127884]  [$65,280,346]  
[tt0465234]  [$219,961,500]  
[tt1134859]  []  
[tt0461770]  [$127,807,260]  
[tt0492956]  [$90,636,983]  
[tt1114718]  []  
[tt1223883]  []  
[tt0810900]  []  
[tt0467110]  [$43,751,706]  
[tt0382932]  [$206,445,650]  
[tt0449088]  [$309,420,420]  
[tt0396555]  [$97,821,064]  
[tt0959577]  []  
[tt0452681]  [$84,497,876]  
[tt0901686]  []  
[tt0445990]  [$57,789,574]  
[tt0775362]  []  
[tt0383574]  [$423,315,810]  
[tt0825739]  []  
[tt0405469]  [$37,371,315]  
[tt0317219]  [$244,052,770]  
[tt0393735]  [$61,112,916]  
[tt0397313]  [$81,593,527]  
[tt0436595]  [$10,399,670]  
[tt0447854]  [ARS 394,602]  
[tt0385726]  [$42,643,187]  
[tt0363771]  [$291,709,840]  
[tt0401398]  []  
[tt0371606]  [$135,381,500]  
[tt0388980]  [$15,331,289]  
[tt0466590]  []  
[tt0759923]  []  
[tt0405325]  [$63,946,815]  
[tt0400497]  [$66,002,004]  
[tt0437503]  []  
[tt0468474]  []  
[tt0361089]  [$19,447,478]  
[tt0396652]  [$24,381,334]  
[tt0455565]  []  
[tt0395699]  [$113,006,880]  
[tt0407121]  [$18,081,626]  
[tt0424279]  []  
[tt0368891]  [$173,008,890]  
[tt0279967]  []  
[tt0317705]  [$261,441,090]  
[tt0433570]  []  
[tt0431962]  []  
[tt0368933]  [$95,149,435]  
[tt0371823]  []  
[tt0381006]  [$314,000]  
[tt0353965]  []  
[tt0384696]  []  
[tt0299172]  [$50,026,353]  
[tt0412936]  []  
[tt0361467]  [$29,331,068]  
[tt0349825]  [$64,378,093]  
[tt0350194]  [$6,491,350 ]  
[tt0318850]  [$6,751,389 ]  
[tt0403981]  []  
[tt0338094]  [$75,817,994]  
[tt0328880]  [$85,329,248]  
[tt0208650]  []  
[tt0322389]  []  
[tt1636781]  []  
[tt0322330]  [$110,230,330]  
[tt0325980]  [$305,413,910]  
[tt0377770]  []  
[tt0266543]  [$41,123,892]  
[tt0306841]  [$42,672,630]  
[tt0344864]  []  
[tt0311289]  [$67,406,573]  
[tt0297144]  [$17,040,711]  
[tt0323810]  []  
[tt0323642]  [$23,073,611]  
[tt0301454]  []  
[tt0293437]  []  
[tt0283426]  [$47,887,943]  
[tt0324941]  []  
[tt0324572]  []  
[tt0133240]  [$38,120,554]  
[tt0304669]  [$139,225,850]  
[tt0313634]  []  
[tt0283084]  [$19,158,074]  
[tt0276033]  [$16,988,996]  
[tt0275847]  [$145,794,330]  
[tt0265662]  [$75,600,072]  
[tt0291082]  []  
[tt0280030]  [$48,423,368]  
[tt0257778]  []  
[tt0281373]  [$81,150,692]  
[tt0315628]  []  
[tt0198781]  [$289,862,420]  
[tt0273799]  [$17,292,381]  
[tt0247638]  [$108,244,770]  
[tt0230011]  [$84,052,762]  
[tt0279666]  []  
[tt0249677]  []  
[tt0241493]  []  
[tt0253725]  []  
[tt0319921]  []  
[tt0120917]  [$89,296,573]  
[tt0211181]  [$66,941,559]  
[tt0250593]  []  
[tt0210945]  [$115,648,580]  
[tt0240684]  []  
[tt0181196]  []  
[tt0219854]  [$69,688,384]  
[tt0130623]  [$137,748,060]  
[tt0197655]  []  
[tt0185007]  [$537,000 ]  
[tt0208185]  []  
[tt0219105]  []  
[tt0120910]  [$60,507,228]  
[tt0238414]  []  
[tt0120363]  [$245,852,170]  
[tt0179496]  []  
[tt0141369]  [$97,360,069]  
[tt0120855]  [$171,085,170]  
[tt0166896]  [$6,197,866 ]  
[tt0187819]  [$19,421,271]  
[tt0120764]  [$36,830,057]  
[tt0120659]  [$229,128 ]  
[tt0211409]  []  
[tt0221773]  []  
[tt0324570]  []  
[tt0324573]  []  
[tt0120751]  [$50,628,009]  
[tt0302039]  []  
[tt0120623]  [$162,792,670]  
[tt0155753]  [$12,213,678]  
[tt0120131]  []  
[tt0143808]  []  
[tt0120783]  [$66,304,095]  
[tt0120762]  [$120,618,400]  
[tt0120645]  [$4,308,981 ]  
[tt0167038]  []  
[tt0119718]  [$21,382,456]  
[tt0119137]  [$92,969,824]  
[tt0120029]  [$15,448,043]  
[tt0118570]  [$23,125,940]  
[tt0283321]  []  
[tt0119190]  [$105,263,250]  
[tt0119282]  [$99,046,791]  
[tt0119310]  []  
[tt0119432]  [$59,925,026]  
[tt0120317]  [$18,239,932]  
[tt0115433]  [$136,182,160]  
[tt0116000]  [$22,936,273]  
[tt0116311]  [$26,459,681]  
[tt0116583]  [$100,117,600]  
[tt0116683]  [$28,900,101]  
[tt0116552]  [$32,709,423]  
[tt0117110]  [$33,609,000]  
[tt0114526]  []  
[tt0112302]  [$23,735,802]  
[tt0114709]  [$30,144,903]  
[tt0112499]  [$17,725,500]  
[tt0113104]  []  
[tt0113538]  [$13,323,625]  
[tt0114308]  []  
[tt0114048]  [$24,700,000]  
[tt0114148]  [$141,579,770]  
[tt0113198]  [$35,348,597]  
[tt0111359]  [$8,247,627 ]  
[tt0113755]  [$40,070,995]  
[tt0110006]  [$17,689,177]  
[tt0286547]  []  
[tt0189309]  []  
[tt0112973]  []  
[tt0110213]  [$44,342,956]  
[tt0111070]  [$144,833,350]  
